Exposure.ID,wasp.lineage,wasp.age.days,host.species,host.plant,pupa.mass,pupa.age.days,attempted2,wasp_success,bfly_success,attempted_binary,host.fate.no8,start3
PC.DIAP.14.16,P. cassotis,12.132,D. plexippus,A. curassavica,1.24,0.631944444,2,1,0,Attempt,Wasps emerged,0014-09
PCO16.2.6.10,P. cassotis,12.156,D. plexippus,A. incarnata,1.224,0.15625,2,1,0,Attempt,Wasps emerged,0016-02
PCO16.2.21.1,P. cassotis,12.174,D. plexippus,A. curassavica,1.076,0.173611111,2,1,0,Attempt,Wasps emerged,0016-02
PC15.9.20.1,P. cassotis,12.208,D. plexippus,A. incarnata,0.991,0.041666667,1d,0,0,Attempt,"Dead butterfly, no wasps",0015-09
PC14.9.4.2,P. cassotis,12.208,D. plexippus,A. incarnata,1.49,0.166666667,0,0,1,No attempt,Butterfly,0014-09
PCO16.9.17.1,P. cassotis,12.229,D. plexippus,A. incarnata,1.154,0.145833333,2,1,0,Attempt,Wasps emerged,0016-09
PC16.8.25.3,P. cassotis,12.354,D. plexippus,A. incarnata,1.061,0.074305556,2,1,0,Attempt,Wasps emerged,0016-08
PCN16.9.28.2,P. cassotis,12.479,D. plexippus,A. curassavica,1.286,0.916666667,2,1,0,Attempt,Wasps emerged,0016-09
5c9i,P. puparum,13.115,D. plexippus,A. curassavica,1,0.666666667,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
5c11a,P. puparum,13.125,D. plexippus,A. curassavica,0.73,0.083333333,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
PC15.5.25.1,P. cassotis,13.132,D. plexippus,A. curassavica,1.029,0.423611111,2,1,0,Attempt,Wasps emerged,0015-05
PCO16.2.7.1,P. cassotis,13.132,D. plexippus,A. incarnata,1.393,0.256944444,1b,0,1,Attempt,Butterfly,0016-02
PC14.9.5.1,P. cassotis,13.139,D. plexippus,A. incarnata,1.27,0.868055556,2,1,0,Attempt,Wasps emerged,0014-09
PCF16.9.19.1,P. cassotis,13.167,D. plexippus,A. curassavica,1.579,0.302083333,0,0,1,No attempt,Butterfly,0016-09
PC16.2.6.1,P. cassotis,13.198,D. plexippus,A. incarnata,1.212,0.09375,2,1,0,Attempt,Wasps emerged,0016-02
PCO16.2.22.1,P. cassotis,13.257,D. plexippus,A. curassavica,1.356,0.298611111,0,0,1,No attempt,Butterfly,0016-02
PC14.9.4.3,P. cassotis,13.292,D. plexippus,A. incarnata,1.25,0.125,2,1,0,Attempt,Wasps emerged,0014-09
PC14.9.4.4,P. cassotis,13.292,D. plexippus,A. incarnata,0.98,0.125,2,1,0,Attempt,Wasps emerged,0014-09
PCN16.9.27.2,P. cassotis,13.417,D. plexippus,A. incarnata,1.015,0.75,2,1,0,Attempt,Wasps emerged,0016-09
ok1f,P. cassotis,13.792,D. plexippus,A. curassavica,1.19,0.291666667,2,1,0,Attempt,Wasps emerged,0013-10
PC15.9.30.1,P. cassotis,13.944,D. plexippus,A. incarnata,1.051,0.069444444,2,1,0,Attempt,Wasps emerged,0015-09
PCO16.4.15.4,P. cassotis,14.014,D. plexippus,A. incarnata,1.273,0.263888889,0,0,1,No attempt,Butterfly,0016-04
5c11b,P. puparum,14.031,D. plexippus,A. curassavica,1,0.15625,1b,0,1,Attempt,Butterfly,0013-09
PC14.9.4.1,P. cassotis,14.083,D. plexippus,A. incarnata,0.99,0.916666667,0,0,1,No attempt,Butterfly,0014-09
w17,P. puparum,14.083,D. plexippus,A. curassavica,0.94,0.083333333,0,0,1,No attempt,Butterfly,0013-10
