county,geoid,pollutant,noncancer_air_risk,cancer_air_risk,combined_air_score
ANOKA,270030506074,All pollutant sum,0.8,1.65e-5,1.65
ANOKA,270030506081,All pollutant sum,1,2.47e-5,2.4699999999999998
ANOKA,270030506082,All pollutant sum,0.83,1.81e-5,1.8099999999999998
ANOKA,270030506083,All pollutant sum,1.06,2.58e-5,2.5799999999999996
ANOKA,270030506091,All pollutant sum,0.7,1.61e-5,1.6099999999999997
ANOKA,270030506092,All pollutant sum,0.58,1.46e-5,1.46
ANOKA,270030506093,All pollutant sum,0.78,1.79e-5,1.79
ANOKA,270030506101,All pollutant sum,0.61,1.35e-5,1.3499999999999999
ANOKA,270030506102,All pollutant sum,0.72,1.42e-5,1.42
ANOKA,270030506103,All pollutant sum,0.9,1.52e-5,1.5199999999999998
ANOKA,270030506104,All pollutant sum,0.62,1.43e-5,1.43
ANOKA,270030507021,All pollutant sum,0.66,1.57e-5,1.5699999999999998
ANOKA,270030507022,All pollutant sum,0.7,1.58e-5,1.58
ANOKA,270030507041,All pollutant sum,0.99,2.14e-5,2.1399999999999997
ANOKA,270030507042,All pollutant sum,0.83,1.84e-5,1.8399999999999999
ANOKA,270030507043,All pollutant sum,0.79,1.79e-5,1.79
ANOKA,270030507044,All pollutant sum,0.84,1.97e-5,1.97
ANOKA,270030507045,All pollutant sum,1.52,3.97e-5,3.9699999999999998
ANOKA,270030507061,All pollutant sum,1,2.48e-5,2.48
ANOKA,270030507062,All pollutant sum,1.34,3.51e-5,3.51
ANOKA,270030507063,All pollutant sum,1.33,3.45e-5,3.4499999999999997
ANOKA,270030507071,All pollutant sum,0.49,1.26e-5,1.2599999999999998
ANOKA,270030507072,All pollutant sum,0.52,1.35e-5,1.3499999999999999
ANOKA,270030507073,All pollutant sum,0.54,1.42e-5,1.42
ANOKA,270030507091,All pollutant sum,0.98,1.87e-5,1.8699999999999999
ANOKA,270030507092,All pollutant sum,1.18,2.14e-5,2.1399999999999997
ANOKA,270030507101,All pollutant sum,1.55,3.97e-5,3.9699999999999998
ANOKA,270030507102,All pollutant sum,1.25,3.15e-5,3.15
ANOKA,270030507103,All pollutant sum,1.38,3.61e-5,3.61
ANOKA,270030507104,All pollutant sum,1.07,2.46e-5,2.46
ANOKA,270030507111,All pollutant sum,0.43,1.09e-5,1.09
ANOKA,270030507112,All pollutant sum,0.5,1.36e-5,1.3599999999999999
ANOKA,270030507113,All pollutant sum,0.54,1.36e-5,1.3599999999999999
ANOKA,270030507114,All pollutant sum,0.54,1.4e-5,1.4
ANOKA,270030507115,All pollutant sum,0.59,1.49e-5,1.4899999999999998
ANOKA,270030507121,All pollutant sum,0.63,1.59e-5,1.5899999999999999
ANOKA,270030507122,All pollutant sum,0.62,1.61e-5,1.6099999999999997
